Expression	Value	Location	Type	
[471]	9.02'348'251E+1	0x2000'28ac	float32_t	
[472]	3.55'037'628E+2	0x2000'28b0	float32_t	
[473]	1.84'021'271E+2	0x2000'28b4	float32_t	
[474]	5.51'052'429E+2	0x2000'28b8	float32_t	
[475]	9.85'687'027E+1	0x2000'28bc	float32_t	
[476]	2.27'057'419E+2	0x2000'28c0	float32_t	
[477]	3.18'424'622E+2	0x2000'28c4	float32_t	
[478]	4.06'576'599E+2	0x2000'28c8	float32_t	
[479]	3.85'936'798E+2	0x2000'28cc	float32_t	
[480]	4.16'659'027E+2	0x2000'28d0	float32_t	
[481]	1.45'437'042E+2	0x2000'28d4	float32_t	
[482]	2.15'776'016E+2	0x2000'28d8	float32_t	
[483]	7.66'354'065E+1	0x2000'28dc	float32_t	
[484]	7.30'106'689E+2	0x2000'28e0	float32_t	
[485]	4.42'514'526E+2	0x2000'28e4	float32_t	
[486]	8.38'777'466E+2	0x2000'28e8	float32_t	
[487]	4.29'580'536E+2	0x2000'28ec	float32_t	
[488]	3.11'278'076E+2	0x2000'28f0	float32_t	
[489]	6.23'835'998E+2	0x2000'28f4	float32_t	
[490]	3.15'736'725E+2	0x2000'28f8	float32_t	
[491]	6.86'991'028E+2	0x2000'28fc	float32_t	
[492]	4.05'751'251E+2	0x2000'2900	float32_t	
[493]	6.27'857'544E+2	0x2000'2904	float32_t	
[494]	4.2'252'002E+2	0x2000'2908	float32_t	
[495]	2.65'443'085E+2	0x2000'290c	float32_t	
[496]	3.94'475'769E+2	0x2000'2910	float32_t	
[497]	2.94'216'528E+3	0x2000'2914	float32_t	
[498]	3.84'619'189E+3	0x2000'2918	float32_t	
[499]	1.38'016'357E+3	0x2000'291c	float32_t	
[500]	1.38'781'799E+3	0x2000'2920	float32_t	
[501]	1.74'546'228E+3	0x2000'2924	float32_t	
[502]	3.19'022'949E+2	0x2000'2928	float32_t	
[503]	1.28'701'446E+2	0x2000'292c	float32_t	
[504]	3.52'037'445E+2	0x2000'2930	float32_t	
[505]	2.30'142'456E+3	0x2000'2934	float32_t	
[506]	7.25'235'168E+2	0x2000'2938	float32_t	
[507]	3.26'144'116E+3	0x2000'293c	float32_t	
[508]	9.89'281'128E+2	0x2000'2940	float32_t	
[509]	1.55'545'447E+3	0x2000'2944	float32_t	
[510]	3.83'915'991E+3	0x2000'2948	float32_t	
[511]	8.70'474'304E+2	0x2000'294c	float32_t	
subCount	'.' (0x01)	0x2000'0064	uint8_t	
count	Error (col 1): Unknown or ambiguous symbol. count			
binRed	49'076	0x2000'29b8	uint32_t	
binGreen	66'315	0x2000'29bc	uint32_t	
binBlue	62'482	0x2000'29c0	uint32_t	
dutyRed	16'358	0x2000'0068	uint16_t	
dutyGreen	22'105	0x2000'006a	uint16_t	
dutyBlue	20'827	0x2000'006c	uint16_t	
lastDutyRed	15'908	0x2000'006e	uint16_t	
lastDutyGreen	21'655	0x2000'0070	uint16_t	
lastDutyBlue	20'377	0x2000'0072	uint16_t	
